INDONESIA,ENGLISH
kamu,You
dia,he
kita,We
mereka,they
ini,This
itu,That
ada,There is
tidak,No
ya,yes
tidak,No
mungkin,Possible
sangat,very
baik,Good
buruk,bad
besar,big
kecil,small
panjang,long
pendek,short
cepat,fast
lambat,slow
jauh,Far
dekat,near
mahal,expensive
murah,cheap
baru,new
lama,long
pagi,Morning
siang,Afternoon
sore,afternoon
malam,Evening
hari,day
minggu,Sunday
bulan,month
tahun,year
waktu,time
sekarang,Now
tadi,earlier
nanti,Later
dulu,Formerly
makanan,food
minuman,drink
air,water
nasi,rice
roti,bread
daging,meat
ikan,fish
sayur,vegetable
buah,fruit
telur,egg
kopi,coffee
teh,tea
gula,sugar
garam,salt
minyak,oil
bumbu,spice
rasa,flavor
enak,nice
lezat,delicious
pahit,bitter
manis,sweet
asam,sour
asin,salty
pedas,spicy
tempat,place
rumah,House
sekolah,school
kantor,office
pasar,market
taman,park
jalan,road
mobil,car
sepeda,bicycle
motor,motorcycle
bus,bus
kereta,train
kapal,boat
pesawat,aircraft
pintu,door
jendela,window
meja,table
kursi,chair
ranjang,bed
lemari,cupboard
televisi,television
radio,radio
komputer,computer
telepon,telephone
buku,book
pensil,pencil
kertas,paper
tas,bag
sepatu,shoe
baju,dress
celana,trousers
topi,hat
jaket,jacket
payung,umbrella
tangan,hand
kaki,foot
kepala,head
mata,eye
telinga,ear
hidung,nose
mulut,mouth
gigi,tooth
rambut,hair
jari,finger
perut,stomach
dada,chest
punggung,back
lengan,arm
jari kaki,toes
tangan kiri,left hand
tangan kanan,right hand
kaki kiri,Left Foot
kaki kanan,right foot
sakit,Sick
sehat,Healthy
dokter,doctor
rumah sakit,hospital
obat,drug
tidur,Sleep
bangun,get up
mandi,bathe
makan,Eat
minum,drink
bekerja,Work
belajar,Study
bermain,play
berlari,run
berjalan,walk
duduk,Sit down
berdiri,stand
datang,come
pergi,go
pulang,go home
pergi,go
berangkat,leave
kembali,return
bertemu,meet
berbicara,speak
mendengar,hear
melihat,see
mencium,kiss
merasakan,feel
berpikir,think
memikirkan,think about
menulis,write
membaca,read
berbagi,share
membantu,help
mencari,look for
menemukan,find
membeli,buy
menjual,sell
membayar,pay
memberi,give
menerima,accept
menyukai,like
tidak suka,do not like
mencintai,love
membenci,hate
senang,like
sedih,sad
marah,angry
